"","Paper I.D.","First author","Paper name","Journal","Year","weblink","focal frugivore species","focal plant species","geographic location","country","location1","location2","location3","feeding trial? ","collect scat samples & germinate? ","notes"
"55","Murray, K.G. Ecology 1994","Murray, K.G.","Fruit laxatives and seed passage rates in frugivores: consequences for plant reporductive success.","Ecology",1994,"http://www.jstor.org/stable/1939422?seq=1#page_scan_tab_contents","Black-faced Solitaire (Myadestes melanops)","Witheringia solanacea","Costa Rica","Costa Rica","Island","New World","Island","yes","yes","Ingested seeds had better germination success than non ingested seeds, but seeds that stayed in the gut for too long were not viable"
"56","Murray, K.G. Ecology 1994","Murray, K.G.","Fruit laxatives and seed passage rates in frugivores: consequences for plant reporductive success","Ecology",1994,"http://www.jstor.org/stable/1939422?seq=1#page_scan_tab_contents","Black-faced Solitaire, Myadestes melanops","Witheringia solanacea (Solanaceae)","Monteverde Cloud Forest Reserve, Provincia de Puntarenas, Costa Rica","Costa Rica","Mainland","New World","Mainland","yes","yes","Ingestion helped germination, but only if it stayed in the gut for a short time"
"57","Overdorff, Deborah; Strait, Suzanne American Journal of Primatology 1998","Overdorff, Deborah; Strait, Suzanne","Seed handling by three prosimian primates in southeastern madagascar: implications for seed dispersal","American Journal of Primatology",1998,"http://onlinelibrary.wiley.com/doi/10.1002/(SICI)1098-2345(1998)45:1%3C69::AID-AJP6%3E3.0.CO;2-U/abstract","Propithecus diadema edwardsi, Eulemur fulvus rufus, Eulemur rubriventer","Protorhus sp., Chrysophyllum madagascariensis, Harungana madagascariensis, Cissus sp., Eugenia sp. "," in Southeastern Madagascar","Madagascar","Island","Old World","Island","no","yes","These primates weren't good seed dispesers because almost all the seeds failed to germinate"
"58","Baldwin, J. Oecologia 2014","Baldwin, J.","Fruit secondary compounds mediate the retention time of seeds in the guts of Neotropical fruit bats","Oecologia",2014,"http://link.springer.com/article/10.1007/s00442-014-3096-2","bats (Carollia perspicillata)","Piper colonense, Piper peltatum, Piper reticulatum, Piper sancti-felicis, Piper silvivagum","Heredia Province, Costa Rica","Costa Rica","Mainland","New World","Mainland","yes","yes","For germination success, the effects were species specific; germination success increased with gut retention time for P. peltatum but not for other species. Gut retention time did not influence germination speed in any of the species examined."
"59","Vila, M. Ecology 1998","Vila, M.","FRUIT CHOICE AND SEED DISPERSAL OF INVASIVE VS. NONINVASIVE CARPOBROTUS (AIZOACEAE) IN COASTAL CALIFORNIA","Ecology",1998,"http://onlinelibrary.wiley.com/doi/10.1890/0012-9658(1998)079%5B1053:FCASDO%5D2.0.CO;2/full","Jack Rabbit, Deer","Carpobrotus edulis, Carpobroutschilensis","California","United States","Mainland","New World","Mainland","no","yes","Germination of seeds from C. edulis and hybrids was enhanced after gut passage, whereas germination of C. chilensis decreased after gut passage, compared to seed germination from intact fruits."
"60","Whitney, K. Journal of Tropical Ecology 1998","Whitney, K.","Seed dispersal by Ceratogymna hornbills in the Dja Reserve, Cameroon","Journal of Tropical Ecology",1998,"http://www.jstor.org.proxy.lib.iastate.edu/stable/2559914?seq=1#page_scan_tab_contents","Certaogymna atrata, Certaogymna cylindricus, Certaogymna fistulator","Cleistopholis glauca, Cleitsopholis patens, Cleistoholis sp., Polyalthia suaveolens, Xylopia rubescens, Rauwolfia macrocarpa, Eremosphatha macrocarpa, Lacosperma secundiflorum, Canarium schweinfurthii, Dacryodes edulis, Euphorbiaceae sp., Beilschmiedia sp., Trichilia heudelotii, Pycnanthus angolensis, Staudtia stipitata, Heisteria zimmeri, Maesopsis eminii","Dja Reserve, Cameroon","Cameroon","Mainland","Old World","Mainland","no","yes","Ingestion helped germiation in some taxa, inhibited it in others, and had no effect on others"
"61","Rick, C. Evolution 1961","Rick, C.","Galápagos tomatoes and tortoises","Evolution",1961,"http://www.jstor.org/stable/2406309?seq=1#page_scan_tab_contents","Galapagos Tortoises","Lycopersicon esculentum var. minor (L. cheesmanii var. minor)","Indefatigable Island, Galapagos Islands","Ecuador","Island","New World","Island","yes","yes","Ingestion increased germination, and was essentionally necessary for the tomatoe seeds to germinate. "
"62","Halevy, G. Isreal Journal of Botany 1974","Halevy, G.","Effects of gazelles and seed beetles (Bruchidae) on germination and establishment of Acacia species","Isreal Journal of Botany",1974,"http://www.tandfonline.com/doi/pdf/10.1080/0021213X.1974.10676842","dorcas gazelles (Gazella dorcas)","Acacia raddiana, Acacia tortilis, Acacia gerrardii","Negev and Sinai","Egypt and Isreal","Mainland","Old World","Mainland","yes","yes","Most seeds didn't survive ingestion, but those that did had increased germination rates and times"
"63","Honkavaara, J. Annales Botanici Fennici 2007","Honkavaara, J.","Avian seed ingestion changes germination patterns of bilberry, Vaccinium myrtillus","Annales Botanici Fennici",2007,"http://www.jstor.org/stable/23727680?seq=1#page_scan_tab_contents","Thrushes","bilberry (Vaccinium myrtillus)","Central Finland","Finland ","Mainland","Old World","Mainland","yes","yes","Ingestion increased germination"
"64","Kaufmann, S. American Journal of Botany 1991","Kaufmann, S.","Adaptations for a Two-Phase Seed Dispersal System Involving Vertebrates and Ants in a Hemiepiphytic Fig (Ficus microcarpa: Moraceae)","American Journal of Botany",1991,"http://www.jstor.org/stable/2445176?seq=1#page_scan_tab_contents","Indian Hill Mynah (Gracula religiosa)","Ficus microcarpa","Florida","Florida ","Mainland","New World","Mainland","yes","yes","Ingestion did not improve germination"
